tconst	 titleType	 primaryTitle	 isAdult	 startYear	 endYear	 runtimeMinutes	 genres	 region	 language	IMDB rating
tt0018297	movie	Quality Street	0	1927	\N	115	"Comedy,Drama,Romance"	FI	\N	6.5
tt0120370	movie	Trekkies	0	1997	\N	86	"Comedy,Documentary"	\N	\N	6.9
tt0029165	movie	Love Is News	0	1937	\N	77	"Comedy,Romance"	SE	\N	7.1
tt0133992	movie	Nelly	0	1914	\N	\N	\N	DK	\N	\N
tt1282140	movie	Easy A	0	2010	\N	92	"Comedy,Drama,Romance"	ES	\N	7.1
tt0367093	video	Starship Troopers 2: Hero of the Federation	0	2004	\N	88	"Action,Adventure,Horror"	US	\N	3.5
tt0033754	movie	In the Navy	0	1941	\N	86	"Comedy,Musical,Romance"	AT	\N	6.8
tt0437800	movie	Akeelah and the Bee	0	2006	\N	112	"Drama,Family"	HU	\N	7.3
tt0841044	movie	2 Days in Paris	0	2007	\N	96	"Comedy,Drama,Romance"	RO	\N	6.8
tt0046912	movie	Dial M for Murder	0	1954	\N	105	"Crime,Thriller"	GB	\N	8.2
tt1753383	movie	A Dog's Purpose	0	2017	\N	100	"Adventure,Comedy,Drama"	PL	\N	7.1
tt0024031	movie	Forgotten	0	1933	\N	65	"Drama,Romance"	US	\N	7
tt0213668	tvMovie	Freedom Song	0	2000	\N	112	Drama	GR	\N	7.3
tt0068732	movie	Images	0	1972	\N	104	"Drama,Horror,Mystery"	GR	\N	7.1
tt0491747	movie	Away from Her	0	2006	\N	110	Drama	FR	\N	7.5
tt0380164	movie	Akasia	0	2003	\N	103	"Horror,Thriller"	US	\N	5.7
tt0171227	movie	Diplomatic Siege	0	1999	\N	90	"Action,Thriller"	ES	\N	3.9
tt0157044	movie	Sitcom	0	1998	\N	85	"Comedy,Drama,Romance"	BR	\N	6.7
tt0092897	movie	Disorderlies	0	1987	\N	86	Comedy	XWG	\N	5
tt1697851	tvMovie	Burn Notice: The Fall of Sam Axe	0	2011	\N	120	"Action,Comedy,Crime"	US	\N	7.2
tt0065484	movie	Bombay Talkie	0	1970	\N	112	"Drama,Musical,Romance"	PT	\N	5.8
tt0012066	movie	Conflict	0	1921	\N	70	Drama	DK	\N	\N
tt0415737	video	Deck the Halls	0	2004	\N	10	"Documentary,Short"	US	\N	4.3
tt0077533	movie	Faces of Death	0	1978	\N	105	"Documentary,Horror"	US	\N	4.2
tt0204313	movie	Exorcist: The Beginning	0	2004	\N	114	"Horror,Mystery,Thriller"	EE	\N	5.1
tt0156591	short	The Hangover	0	1931	\N	9	Short	US	\N	\N
tt2836450	tvSpecial	Aziz Ansari: Buried Alive	0	2013	\N	80	"Comedy,Documentary"	\N	\N	7.3
tt0033173	movie	Too Many Girls	0	1940	\N	85	"Comedy,Music,Sport"	\N	\N	6.2
tt0047041	movie	Gorilla at Large	0	1954	\N	83	"Crime,Film-Noir,Mystery"	GB	\N	5.4
tt0006117	short	Such Is Life	0	1915	\N	\N	"Drama,Short"	US	\N	\N
tt11236054	video	Inhuman Resources	0	2019	\N	3	"Horror,Short"	US	\N	\N
tt0779631	tvEpisode	Just Like Me	0	1985	\N	22	"Action,Adventure,Animation"	US	\N	6.7
tt3454574	movie	Extraordinary Tales	0	2013	\N	73	"Animation,Horror,Mystery"	RU	\N	6.5
tt0247142	tvSeries	Welcome to New York	0	2000	2001	30	Comedy	US	\N	7.4
tt2323551	movie	Hungry for Change	0	2012	\N	89	Documentary	AU	\N	7.5
tt0077716	movie	Ice Castles	0	1978	\N	108	"Drama,Romance,Sport"	GR	\N	6.6
tt0296915	movie	Valentín	0	2002	\N	86	"Comedy,Drama,Romance"	RU	\N	7.6
tt0314067	movie	Filantropica	0	2002	\N	110	"Comedy,Drama"	PL	\N	8.5
